"state_code","full_code","owner_022","service_on_042a","year_built_027","facility_carried_007","location_009","deck_cond_058","superstructure_cond_059","substructure_cond_060"
"Alabama","Sumter County","County Highway Agency","Highway",1912,"ROADWAY","4.0 MI N CO RT 1064","POOR CONDITION","SERIOUS CONDITION","IMMINENT FAILURE CONDITION"
"Alabama","Morgan County","County Highway Agency","Highway",1920,"CURRY CHAPEL ROAD","1.5 MI W SR 36","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","FAILED CONDITION - out of service"
"Alabama","Calhoun County","County Highway Agency","Highway",1958,"STEINBURG RD.","3 MI NE PIEDMONT","POOR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Alabama","Wilcox County","County Highway Agency","Highway",1971,"CO RD 12","1.1 MILES N.ON RTE. 12","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Alabama","Blount County","City or Municipal Highway Agency","Highway",1958,"MOORE ROAD","2 MI SW OF SNEAD","SATISFACTORY CONDITION","SERIOUS CONDITION","IMMINENT FAILURE CONDITION"
"Alabama","Wilcox County","County Highway Agency","Highway",1965,"CO.RD. 209","1.9 MILES E.ON ROAD","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Alabama","Wilcox County","County Highway Agency","Highway",1950,"CO.RD.","1.9 MILES S.ON ROAD117","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Alabama","Clay County","County Highway Agency","Highway",1965,"PINE HOLE ROAD","2 MILES S OF LINEVILLE","POOR CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Alabama","Choctaw County","County Highway Agency","Highway",1986,"Timberlane Rd.","1.6 MI W JCT AL10/AL17","POOR CONDITION","IMMINENT FAILURE CONDITION","SERIOUS CONDITION"
"Alaska","Chugach Census Area","State Highway Agency","Highway",1977,"COPPER RIVER HWY","MILE POINT 36.2","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Arizona","Graham County","Bureau of Indian Affairs","Highway",1929,"IRR BIA RTE 3","36.3 KM E OF COOLIDGE DAM","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION"
"Arkansas","St. Francis County","County Highway Agency","Highway",1955,"Cr-929/Z-G/L-6.79","1.65 Mi S OfJct 930 & 929","IMMINENT FAILURE CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Arkansas","Sebastian County","Other State Agencies","Highway",1941,"Auburn Rd Chaffee","3.75 mi N of Lone Star Ch","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION","SERIOUS CONDITION"
"California","Solano County","County Highway Agency","Highway",1962,"MAIN PRAIRIE RD","0.3 MI E OF RTE 113","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"California","Merced County","County Highway Agency","Highway",1962,"QUINLEY AVENUE","0.6 MI SOUTH OF RTE 140","POOR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Colorado","Otero County","County Highway Agency","Highway",1966,"COUNTY ROAD 15","1.0 MI S OF SH 50","FAIR CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Florida","Taylor County","County Highway Agency","Highway",1989,"GRANGER DRIVE","0.5 MI E OF SR 51 VIA 2ND","GOOD CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Florida","Bay County","County Highway Agency","Highway",1957,"Scott Road","3.0 Mi West US231/SR75","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Florida","Holmes County","County Highway Agency","Highway",1994,"Rice Machine Road","1.2 Mi W Malcolm Taylo Rd","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Florida","Jackson County","County Highway Agency","Highway",2001,"Reddick Mill Road","1.33 Miles West of CR 277","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Florida","Brevard County","County Highway Agency","Highway",1991,"Sea Ray Drive","1.9mi W of N Banana Ri Dr","GOOD CONDITION","GOOD CONDITION","IMMINENT FAILURE CONDITION"
"Georgia","Clayton County","County Highway Agency","Highway",1932,"REX CIRCLE","1.6 MI E JCT SR 42 IN REX","FAIR CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Georgia","DeKalb County","County Highway Agency","Highway",1965,"CEDAR GROVE ROAD","8 MI S OF DECATUR","GOOD CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Georgia","Elbert County","County Highway Agency","Highway",1915,"SWEET CITY ROAD","6.5 MI W OF ELBERTON","POOR CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Georgia","Elbert County","County Highway Agency","Highway",1951,"CALHOUN ROAD","6 MI E OF BOWMAN","GOOD CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Georgia","Fannin County","County Highway Agency","Highway",1969,"NEWPORT ROAD","8.9 MI S OF MORGANTON","GOOD CONDITION","GOOD CONDITION","IMMINENT FAILURE CONDITION"
"Georgia","Fulton County","City or Municipal Highway Agency","Highway-pedestrian",1938,"CHESHIRE BRIDGE RD","IN N ATLANTA","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION"
"Georgia","Fulton County","City or Municipal Highway Agency","Highway",1940,"COCHRAN ROAD","IN SOUTH FULTON","GOOD CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Georgia","Haralson County","County Highway Agency","Highway",2000,"BEACH CREEK ROAD","3.4 MILES NORTH EAST OF T","CRITICAL CONDITION","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION"
"Georgia","Heard County","County Highway Agency","Highway",1940,"TENNESSEE ROAD","2 MI E OF ALA STATE LINE","POOR CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Georgia","Henry County","County Highway Agency","Highway",1955,"SELFRIDGE ROAD","4 MI N OF McDONOUGH","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION","FAIR CONDITION"
"Georgia","Jenkins County","County Highway Agency","Highway",1976,"HARRISON ROAD","6.4 MI SE OF MILLEN","GOOD CONDITION","GOOD CONDITION","IMMINENT FAILURE CONDITION"
"Georgia","Laurens County","County Highway Agency","Highway",1950,"SUN HILL ROAD","5.1 MI S OF CADWELL","SATISFACTORY CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Georgia","Laurens County","County Highway Agency","Highway",1950,"THOMAS SPRINGS RD","5.1 MI E OF DEXTER","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Georgia","Meriwether County","County Highway Agency","Highway",1985,"OAKLAND ROAD","2 MI N OF GAY","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","GOOD CONDITION"
"Georgia","Twiggs County","State Highway Agency","Highway",1971,"PRIVATE ROAD","1.3 MI E OF HUBER","GOOD CONDITION","IMMINENT FAILURE CONDITION","GOOD CONDITION"
"Georgia","Wilkinson County","County Highway Agency","Highway",1950,"CROSS JUSTICE ROAD","2.5 MI S OF IRWINTON","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Georgia","Wilkinson County","County Highway Agency","Highway",1963,"WRILEY ROAD","2.2 MI E OF MCINTYRE","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Illinois","Cass County","Town or Township Highway Agency","Highway",1980,"ECKMAN ROAD - TR 1","3 MI S PHILADELPHIA","GOOD CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Illinois","Fayette County","Town or Township Highway Agency","Highway",1963,"TR-323","1 MI E CORRECT CTN","FAILED CONDITION - out of service","FAILED CONDITION - out of service","IMMINENT FAILURE CONDITION"
"Illinois","Iroquois County","Town or Township Highway Agency","Highway",1911,"TR 266",".5MI N WOODLAND","FAIR CONDITION","SERIOUS CONDITION","IMMINENT FAILURE CONDITION"
"Illinois","Iroquois County","Town or Township Highway Agency","Highway",1930,"TR 420A","N. EDGE OF IROQUOIS","SATISFACTORY CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Illinois","Iroquois County","Town or Township Highway Agency","Highway",1910,"TR 85","3MI SE MARTINTON","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","CRITICAL CONDITION"
"Illinois","Iroquois County","Town or Township Highway Agency","Highway",1917,"TR 242","5 MI SW MILFORD","CRITICAL CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Illinois","Montgomery County","Town or Township Highway Agency","Highway",1900,"TR 255","7.2 MI SE WITT","FAILED CONDITION - out of service","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Illinois","Morgan County","City or Municipal Highway Agency","Highway",1935,"GLADSTONE STREET","ON GLADSTONE @ BROOK","SERIOUS CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Illinois","Stephenson County","City or Municipal Highway Agency","Highway",1920,"PARK COURT","AT KRAPE PARK","CRITICAL CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Illinois","Washington County","Town or Township Highway Agency","Highway",1915,"TR 187","2 MI E-0.5 MI N LIVE","FAIR CONDITION","SERIOUS CONDITION","IMMINENT FAILURE CONDITION"
"Indiana","Clay County","County Highway Agency","Highway",1900,"TOWPATH Rd","00.10 E of 25 W","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Indiana","Jennings County","County Highway Agency","Highway",1897,"CR 800E","00.79 S OF CR 250 S","IMMINENT FAILURE CONDITION","CRITICAL CONDITION","POOR CONDITION"
"Indiana","Lawrence County","County Highway Agency","Highway",1895,"WASH COUNTY BR RD","00.83 S OF CR L9E6S","FAILED CONDITION - out of service","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Indiana","Marion County","City or Municipal Highway Agency","Highway",1940,"WESTBROOK AVE","00.05 N OF MORRIS ST","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Indiana","Putnam County","County Highway Agency","Highway",1915,"CR 500E","00.30 N of CR 300 N","CRITICAL CONDITION","IMMINENT FAILURE CONDITION","CRITICAL CONDITION"
"Indiana","Putnam County","County Highway Agency","Highway",1925,"CR 200E","00.50 S of CR 200 N","POOR CONDITION","POOR CONDITION","IMMINENT FAILURE CONDITION"
"Indiana","Shelby County","County Highway Agency","Highway",1910,"CR 275 NORTH","00.01 W OF CR 825 W","POOR CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Indiana","Shelby County","County Highway Agency","Highway",1915,"MOUND ROAD","01.10 N OF CR 850 S","FAIR CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Indiana","Vermillion County","County Highway Agency","Highway",1913,"CR 125E","00.10 S of CR 500 S","IMMINENT FAILURE CONDITION","SERIOUS CONDITION","POOR CONDITION"
"Indiana","Wabash County","County Highway Agency","Highway",1960,"CR 1050 S","00.30 S OF CR 1000 S","FAIR CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Indiana","Wabash County","County Highway Agency","Highway",1890,"CR 325 E","00.20 N OF WABASH ST","CRITICAL CONDITION","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION"
"Iowa","Jones County","City or Municipal Highway Agency","Highway",1900,"DIVISION ST","000000000","IMMINENT FAILURE CONDITION","GOOD CONDITION","SATISFACTORY CONDITION"
"Iowa","Linn County","City or Municipal Highway Agency","Highway",1949,"3RD ST","000000000","IMMINENT FAILURE CONDITION","POOR CONDITION","FAIR CONDITION"
"Iowa","Clayton County","City or Municipal Highway Agency","Highway",1920,"6TH ST","M18000800","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","GOOD CONDITION"
"Iowa","Audubon County","County Highway Agency","Highway",1924,"LOCAL","080351401","IMMINENT FAILURE CONDITION","FAIR CONDITION","POOR CONDITION"
"Iowa","Audubon County","County Highway Agency","Highway",1967,"LOCAL","081341802","POOR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Iowa","Buchanan County","County Highway Agency","Highway",1953,"LOCAL 325TH ST","087102903","CRITICAL CONDITION","IMMINENT FAILURE CONDITION","CRITICAL CONDITION"
"Iowa","Dubuque County","County Highway Agency","Highway",1938,"LOCAL","088023502","SATISFACTORY CONDITION","GOOD CONDITION","IMMINENT FAILURE CONDITION"
"Iowa","Jackson County","City or Municipal Highway Agency","Highway",1902,"EAST LINE ST","000000000","POOR CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Iowa","Johnson County","County Highway Agency","Highway",1920,"HALFMOON AVE","079070504","SERIOUS CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Iowa","Story County","County Highway Agency","Highway",1936,"248TH ST","083221403","SATISFACTORY CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Iowa","Story County","County Highway Agency","Highway",1876,"LOCAL-DEAD END","083242405","FAILED CONDITION - out of service","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Kentucky","Christian County","County Highway Agency","Highway",1950,"CR-1086",".5 M. E. OF U. S. 41","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Kentucky","Elliott County","County Highway Agency","Highway",1950,"Old Blaine Trace","390 S of Jct. Ky 486","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Kentucky","Harlan County","State Highway Agency","Highway",1925,"KY-72",".10 MI S.W. OF JCT KY 421","IMMINENT FAILURE CONDITION","FAILED CONDITION - out of service","FAIR CONDITION"
"Kentucky","Henderson County","County Highway Agency","Highway",1975,"COOPER-COOPER RD","1.0 MI SW JCT KY 266","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Kentucky","Hopkins County","Railroad","Highway",1982,"POPLAR ST","200 FT N. MEADOW HILL RD.","FAIR CONDITION","SERIOUS CONDITION","IMMINENT FAILURE CONDITION"
"Kentucky","Madison County","Railroad","Highway",1989,"KY-1983","2.5 MI.N. OF JCT KY 595","POOR CONDITION","IMMINENT FAILURE CONDITION","SERIOUS CONDITION"
"Kentucky","Mason County","State Highway Agency","Highway",1835,"KY-3113",".10 MI SOU. OF JCT KY 8","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Kentucky","Mason County","County Highway Agency","Highway",1940,"KENNEDY CREEK RD",".05 MI E OF JCT KY 1449","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Kentucky","Nicholas County","County Highway Agency","Highway",1917,"OLD US 68 CONNECTO",".5 MI W OF JCT NEW US 68","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Kentucky","Rowan County","County Highway Agency","Highway",1921,"FREESTONE RD","300E.-US 60@ BLUESTONE","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Kentucky","Scott County","Railroad","Highway",1917,"FIELDS RD","1.27 MILES S OF US 25","FAIR CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Kentucky","Shelby County","County Highway Agency","Highway",1982,"JAIL HILL RD","0.1 MI N OF US 60 WB","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Kentucky","Whitley County","County Highway Agency","Highway",1935,"WATTS CREEK ROAD",".1 MI NW OF JCT US 25W","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Kentucky","Whitley County","County Highway Agency","Highway",1936,"HOWARD PERKINS ROA",".2 MI E OF JCT KY 6","IMMINENT FAILURE CONDITION","CRITICAL CONDITION","CRITICAL CONDITION"
"Louisiana","Jefferson Parish","County Highway Agency","Highway",1960,"BAYOU RD","0.01 MI. E. OF LA. 3017","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Louisiana","Jefferson Parish","County Highway Agency","Highway-pedestrian",1977,"LAPALCO BLVD","0.9 MI. S. OF US 90 B","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Louisiana","Lafourche Parish","County Highway Agency","Highway-pedestrian",1969,"VALENTINE BRIDGE R","0.01 MI N OF LA 1","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Louisiana","Orleans Parish","State Highway Agency","Highway",1938,"US0011",".01 MI NORTH OF I-10","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Louisiana","Acadia Parish","County Highway Agency","Highway",2015,"Vie Terre Beau Rd","1.41 MI. WEST OF LA 1123","GOOD CONDITION","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION"
"Louisiana","Evangeline Parish","County Highway Agency","Highway",2010,"Cousins Rd.","2 Miles S. of La 1161","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION","SATISFACTORY CONDITION"
"Louisiana","Iberia Parish","County Highway Agency","Highway",1966,"Monnot Rd","0.10 Mi SW of La 668","GOOD CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Louisiana","St. Landry Parish","County Highway Agency","Highway",1955,"Bellard Loop","0.4 Mi. E. of La 35","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Louisiana","St. Landry Parish","City or Municipal Highway Agency","Highway",1974,"Ducharme Rd.","0.31 Mi SW of I-49","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Louisiana","St. Martin Parish","County Highway Agency","Highway",1975,"Auguillard Rd","0.2 Mi. N. of La 347","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Louisiana","St. Mary Parish","State Highway Agency","Highway",1941,"LA0324","0.1 MI WEST OF LA 326","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Louisiana","Vermilion Parish","County Highway Agency","Highway",1960,"Juniper Rd","2.8 Mi E of LA 3093","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION"
"Louisiana","Vermilion Parish","County Highway Agency","Highway",1992,"Broadview Dr.","400 ft. west of LA 339","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Louisiana","Vermilion Parish","County Highway Agency","Highway",1965,"Wright Rd","1.7 Mi S of La 14","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Louisiana","Vermilion Parish","County Highway Agency","Highway",1965,"Burnell Rd","1.3 Mi. E of LA 91","SATISFACTORY CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Louisiana","Vermilion Parish","County Highway Agency","Highway",1965,"S. Lemaire Ave","0.35 Mi S of La 14","SATISFACTORY CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Louisiana","Vermilion Parish","County Highway Agency","Highway",1992,"Roy Rd","0.01 Mi S of Placide Rd","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Louisiana","Bienville Parish","Railroad","Highway",1940,"Sparta Rd","300 FT. NO. OF U.S.","IMMINENT FAILURE CONDITION","POOR CONDITION","CRITICAL CONDITION"
"Louisiana","Jackson Parish","County Highway Agency","Highway",1965,"FLAT CR RD","1 MI. ENE INT. 461","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Louisiana","Madison Parish","County Highway Agency","Highway",1975,"ATKINS RD","16MI W TALLULAH","SATISFACTORY CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
