"state_code","full_code","owner_022","service_on_042a","year_built_027","facility_carried_007","location_009","deck_cond_058","superstructure_cond_059","substructure_cond_060"
"Pennsylvania","Indiana County","Town or Township Highway Agency","Highway",1977,"T-734 CHESTNUT ST","BTW T651 & SR0403","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","Lackawanna County","County Highway Agency","Highway",1956,"T-304 (PLANK ROAD)","CLIFTON TWP 1 MI SW I-380","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Lackawanna County","County Highway Agency","Highway-pedestrian",1904,"COLLEGE RD T437","LA PL TWP 100 FT EA T470","NOT APPLICABLE","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Lancaster County","County Highway Agency","Highway",1922,"LINDEN RD","1500 FT NORTH OF SR 897","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Lancaster County","County Highway Agency","Highway",1939,"PEQUEA VALLEY RD","1200 FT SW OF SR 772","FAIR CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Lancaster County","City or Municipal Highway Agency","Highway",1925,"OAK STREET","1400 SE OF SR 4040","POOR CONDITION","IMMINENT FAILURE CONDITION","SERIOUS CONDITION"
"Pennsylvania","Lawrence County","Town or Township Highway Agency","Highway-pedestrian",1932,"OLD ROUTE 18 RT","206010 WILLOWGROVE BRDG#1","POOR CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Lebanon County","County Highway Agency","Highway",1933,"T-471 GOLF ROAD","450 N OF FREEPORT RD","POOR CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Lebanon County","Town or Township Highway Agency","Highway",1960,"T-531ShirksvilleRD","2.1 E SHIRKSVILLE/EARKILL","FAIR CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Pennsylvania","Lebanon County","County Highway Agency","Highway",1904,"LEVANS IRON BRIDGE","0.6 MI NE OF QUARRY ROAD","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Pennsylvania","McKean County","Town or Township Highway Agency","Highway",1908,"T-437 DELMAR ROAD","1000 FT NE OF SR 44","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Mercer County","County Highway Agency","Highway",1963,"BRIDGE 124 T-480","MURPHY ROAD GREENE TWP","SATISFACTORY CONDITION","SERIOUS CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","Mercer County","County Highway Agency","Highway",1965,"BRIDGE 2108 T-784","HOSACK RD JACKSON TWP.","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Mercer County","County Highway Agency","Highway",1961,"BRIDGE 1017 T-693","YEAGER RD  PERRY TOWNSHIP","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Mercer County","County Highway Agency","Highway",1885,"BRIDGE 1015 T-740","MILL RD  PERRY TOWNSHIP","IMMINENT FAILURE CONDITION","SERIOUS CONDITION","FAIR CONDITION"
"Pennsylvania","Mercer County","County Highway Agency","Highway",1922,"BRIDGE 2805 T-303","HEASLEY RD SHENANGO TWP","FAILED CONDITION - out of service","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","Mercer County","Town or Township Highway Agency","Highway",1897,"T-588 HURON STREET","HURON ST.OVER CHESTNUT RN","GOOD CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Pennsylvania","Mercer County","County Highway Agency","Highway-pedestrian",1909,"BRIDGE 803  OHL ST","OHL ST. GREENVILLE","FAIR CONDITION","IMMINENT FAILURE CONDITION","GOOD CONDITION"
"Pennsylvania","Montgomery County","State Highway Agency","Highway",1892,"SWAMP CREEK ROAD","1MI.N. PA 63   7E7/2917J7","VERY GOOD CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","Montgomery County","County Highway Agency","Highway-pedestrian",1935,"KEIM STREET","MADISON BRIDGE     3138J3","POOR CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Montgomery County","County Highway Agency","Highway",1893,"BERGEYS MILL ROAD","BERGEYS MILL RD.  3030-B9","SERIOUS CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Montgomery County","County Highway Agency","Highway",1905,"FRUITVILLE ROAD","0.85 MI SW OF SR 29 02D07","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","SERIOUS CONDITION"
"Pennsylvania","Montgomery County","County Highway Agency","Highway",1903,"SNYDER ROAD","SNYDER ROAD LR158  2917C7","POOR CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Pennsylvania","Montgomery County","County Highway Agency","Highway",1908,"ROBERTS ROAD","1.7 N of  PA-63   3031-E7","CRITICAL CONDITION","SERIOUS CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","Montgomery County","County Highway Agency","Highway",1883,"FETTERS MILL ROAD",".6 Mi NW PA-232  3259-J10","FAIR CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Montour County","County Highway Agency","Highway",1907,"T-392   CTY BR # 9","2 MI. E. WASHINGTONVILLE","IMMINENT FAILURE CONDITION","FAILED CONDITION - out of service","FAILED CONDITION - out of service"
"Pennsylvania","Montour County","County Highway Agency","Highway",1912,"T-308   CTY BR # 2","1.3 MI. E. OF POTTS GROVE","IMMINENT FAILURE CONDITION","POOR CONDITION","SATISFACTORY CONDITION"
"Pennsylvania","Northampton County","County Highway Agency","Highway",1936,"SEIDERSVILLE ROAD","0.2 MILES WEST OF PA 412","POOR CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Pennsylvania","Northampton County","County Highway Agency","Highway-pedestrian",1910,"HIGH ST","1 MILE EAST OF LR48010","POOR CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Northumberland County","County Highway Agency","Highway",1904,"T-672","0.7MI N OF INT T675 T672","FAIR CONDITION","IMMINENT FAILURE CONDITION","CRITICAL CONDITION"
"Pennsylvania","Northumberland County","Town or Township Highway Agency","Highway",1910,"T-480","1.9 MI. N OF LECK KILL","FAILED CONDITION - out of service","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION"
"Pennsylvania","Potter County","Town or Township Highway Agency","Highway",1920,"T-351 TOPEKA ROAD","400 FT FROM SR 44","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","Schuylkill County","County Highway Agency","Highway",1903,"RIVER DR.","2 MI S. OF AUBURN","SERIOUS CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Pennsylvania","Schuylkill County","City or Municipal Highway Agency","Highway-pedestrian",1930,"JOHN ST.","JOHN ST IN GIRARDVILLE","FAILED CONDITION - out of service","IMMINENT FAILURE CONDITION","SERIOUS CONDITION"
"Pennsylvania","Somerset County","Town or Township Highway Agency","Highway",1940,"T-771 CIRCLE ROAD","1.5 MI.NW.OF JEROME","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","Somerset County","County Highway Agency","Highway",1900,"NORTH STREET","MEYERSDALE BOROUGH","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION"
"Pennsylvania","Sullivan County","Town or Township Highway Agency","Highway",1901,"CHERRY TWP T-474","1.3 MI E OF DUSHORE","GOOD CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Pennsylvania","Susquehanna County","Railroad","Highway",1915,"SR 2017","HOP BOTTOM BO .5M S TR 11","NOT APPLICABLE","POOR CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","Susquehanna County","County Highway Agency","Highway",1886,"T-498 (UPHAM ROAD)","3.1 MI SW OF MIDDLETOWN","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Susquehanna County","Town or Township Highway Agency","Highway",1905,"CHURCH STREET","NEW MILFORD  ADJ. WALL ST","IMMINENT FAILURE CONDITION","CRITICAL CONDITION","POOR CONDITION"
"Pennsylvania","Tioga County","Town or Township Highway Agency","Highway",1935,"T-797","2 MI SE OF EASTPOINT","POOR CONDITION","POOR CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","Union County","County Highway Agency","Highway",1900,"T-357","EAST OF JOHNSTOWN","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","Venango County","Town or Township Highway Agency","Highway",1880,"WILLIAMS ROAD","PLUM TOWNSHIP","POOR CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Pennsylvania","Venango County","Town or Township Highway Agency","Highway",1910,"T-647  ACEL ROAD","PLUM TOWNSHIP","GOOD CONDITION","GOOD CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","Warren County","Town or Township Highway Agency","Highway",1910,"T-355 CHAPEL HILL","ELDRED TOWNSHIP","GOOD CONDITION","POOR CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","Wayne County","State Highway Agency","Highway",1885,"SR 4017","DYBERRY TWP .5M W SR 4007","POOR CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","Westmoreland County","Town or Township Highway Agency","Highway",1915,"MAPLEWOOD DRIVE","600 SW OF TR 617","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","FAILED CONDITION - out of service"
"Pennsylvania","Westmoreland County","City or Municipal Highway Agency","Highway-pedestrian",1950,"FIRST STREET","FIRST STREET BRIDGE","POOR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","Westmoreland County","Railroad","Highway-pedestrian",1900,"FOURTH STREET","0.4 MI WEST OF SR 4027","FAIR CONDITION","CRITICAL CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","Wyoming County","County Highway Agency","Highway",1945,"T348 LOCKVILLE RD.","3 M E OF CENTER MORELAND","FAIR CONDITION","IMMINENT FAILURE CONDITION","CRITICAL CONDITION"
"Pennsylvania","York County","State Highway Agency","Highway",1907,"SR 2018","LUCKY","POOR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","York County","County Highway Agency","Highway",1899,"T955 SLATEHILL RD","YEL BR/@ROSSMOYNE/CUMB Y4","NOT APPLICABLE","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Pennsylvania","Philadelphia County","City or Municipal Highway Agency","Highway-pedestrian",1919,"Margie Street","at Nineteenth St  3590-D1","POOR CONDITION","IMMINENT FAILURE CONDITION","SERIOUS CONDITION"
"Pennsylvania","Washington County","Town or Township Highway Agency","Highway",1993,"RIDGEWOOD DRIVE","SOUTH OF PA50 NEAR BISHOP","FAIR CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Luzerne County","City or Municipal Highway Agency","Highway",1960,"RODGERS AVE","AT PLANES AVE INTERSECT","SERIOUS CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Cameron County","Town or Township Highway Agency","Highway",1929,"T-330  Nickler Rd","100 FT E. OF PA 155","FAIR CONDITION","CRITICAL CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","Westmoreland County","City or Municipal Highway Agency","Highway",1930,"T-854 KILEY DRIVE","AT SR1022 IN GREENWALD","SATISFACTORY CONDITION","POOR CONDITION","IMMINENT FAILURE CONDITION"
"Pennsylvania","Huntingdon County","Town or Township Highway Agency","Highway",1901,"T343 Jordan Cem Rd","1.5mi south of Rockhill","FAILED CONDITION - out of service","IMMINENT FAILURE CONDITION","CRITICAL CONDITION"
"Pennsylvania","Somerset County","City or Municipal Highway Agency","Highway-pedestrian",1910,"Clark Street","Clark St  Hooversville","IMMINENT FAILURE CONDITION","CRITICAL CONDITION","SERIOUS CONDITION"
"Pennsylvania","Fayette County","Town or Township Highway Agency","Highway",1980,"Wingrove Road","Bullskin Township","NOT APPLICABLE","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"South Dakota","Bon Homme County","County Highway Agency","Highway",1905,"41480 299th Street","4N & 1.2W of Tyndall","FAIR CONDITION","IMMINENT FAILURE CONDITION","SERIOUS CONDITION"
"South Dakota","Butte County","County Highway Agency","Highway",1930,"ORMAN ROAD","1 N 4.3 W NEWELL","GOOD CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"South Dakota","Butte County","County Highway Agency","Highway",1960,"YPPARILLA RD","3 N .4 W NEWELL","POOR CONDITION","POOR CONDITION","IMMINENT FAILURE CONDITION"
"South Dakota","Butte County","County Highway Agency","Highway",1950,"EICHER RD","3.2 S NEWELL.8E US79","CRITICAL CONDITION","IMMINENT FAILURE CONDITION","FAILED CONDITION - out of service"
"South Dakota","Butte County","County Highway Agency","Highway",1960,"KOSOLA RD","2.0 S 2.4 E NEWELL","FAIR CONDITION","SERIOUS CONDITION","IMMINENT FAILURE CONDITION"
"South Dakota","Clay County","County Highway Agency","Highway",1940,"29810 466 ST.","1.2S & 14E IRENE","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"South Dakota","Day County","County Highway Agency","Highway",1932,"12590-416TH AVENUE","3W & 4.IN PIERPONT","FAIR CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"South Dakota","Grant County","County Highway Agency","Highway",1965,"151 STREET","7.3E & 2S MILBANK","SATISFACTORY CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"South Dakota","Lincoln County","County Highway Agency","Highway",1935,"289th Street","10S & 0.9W of Lennox","FAIR CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"South Dakota","Lincoln County","County Highway Agency","Highway",1925,"281ST STREET","3E & 1.5N CANTON","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"South Dakota","Meade County","County Highway Agency","Highway",1925,"KENTUCKY PL.","9.7S & 2.8E MUD BUTTE","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"South Dakota","Mellette County","County Highway Agency","Highway",1992,"PINE CREEK (UNORG)","5W & 0.8S WHITE RIVER","POOR CONDITION","SERIOUS CONDITION","IMMINENT FAILURE CONDITION"
"Tennessee","Henderson County","County Highway Agency","Highway",1974,"NFA A439","2 MI S OF SR200","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Tennessee","Humphreys County","County Highway Agency","Highway",1956,"NFA 933  (SA 4314)","5 M. E. SR 13.","FAIR CONDITION","IMMINENT FAILURE CONDITION","FAILED CONDITION - out of service"
"Tennessee","Jackson County","County Highway Agency","Highway",1960,"NFA A268","6MI EAST OF SR53","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Texas","Erath County","County Highway Agency","Highway",1934,"CR 149 - PCT 3",".15 MI N OF US 377","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION"
"Texas","Parker County","City or Municipal Highway Agency","Highway",1932,"KNIGHT ROAD","0.75 MI N OF US 180","IMMINENT FAILURE CONDITION","CRITICAL CONDITION","CRITICAL CONDITION"
"Texas","Parker County","City or Municipal Highway Agency","Highway",1942,"KNIGHT ROAD","0.7 MI N OF US 180","FAIR CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Texas","Coke County","County Highway Agency","Highway",1956,"ROSS RD","7.30 MI NW OF SH 70","GOOD CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Texas","Limestone County","County Highway Agency","Highway",1955,"CO RD 420","0.01 MI NE OF FM 1245","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Texas","Montgomery County","Town or Township Highway Agency","Highway",1968,"WOODBRANCH DR","0.8 MI E OF US 59","NOT APPLICABLE","NOT APPLICABLE","IMMINENT FAILURE CONDITION"
"Texas","Ellis County","City or Municipal Highway Agency","Highway",1930,"Old Alma Road","0.83 MI SE of FM 1183","IMMINENT FAILURE CONDITION","FAILED CONDITION - out of service","FAILED CONDITION - out of service"
"Texas","Dickens County","County Highway Agency","Highway",1927,"CR 404","1.2 MI E OF FM 208","SERIOUS CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Utah","Box Elder County","Town or Township Highway Agency","Highway",1945,"COUNTY ROAD","5200 W. 8000 N.  ELWOOD","FAIR CONDITION","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION"
"Vermont","Bennington County","Town or Township Highway Agency","Highway",1943,"C3022","0.2 MI S JCT VT 313","GOOD CONDITION","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION"
"Vermont","Windham County","State Highway Agency","Highway-pedestrian",1930,"BRIDGE STREET","VERMONT STATE LINE","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Virginia","Brunswick County","State Highway Agency","Highway",1884,"IRON BRIDGE ROAD",".16FR 673 & 1.2 TO 685","GOOD CONDITION","IMMINENT FAILURE CONDITION","GOOD CONDITION"
"Virginia","Charlotte County","State Highway Agency","Highway",1930,"Jeb Stuart Highway","0.00-CharCL/ 0.00-HalfxCL","SERIOUS CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Washington","Grays Harbor County","National Park Service","Highway",2003,"KESTNER HOMESTEAD","Approximately MP 6.2 on N","IMMINENT FAILURE CONDITION","FAIR CONDITION","SATISFACTORY CONDITION"
"West Virginia","Braxton County","State Highway Agency","Highway",1905,"COUNTY ROUTE 40/15","0.03 MI S OF CO 40","IMMINENT FAILURE CONDITION","SERIOUS CONDITION","FAIR CONDITION"
"West Virginia","Mercer County","City or Municipal Highway Agency","Highway-pedestrian",1941,"City Street","0.02 MI N OF US 19","FAIR CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Wisconsin","Columbia County","Railroad","Highway",1900,"LRD CHESTNUT ST","0.1M W JCT STH 113","POOR CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Wisconsin","Douglas County","Town or Township Highway Agency","Highway",1929,"LRD OLD HWY 2 RD (","0.2M S JCT USH 2","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Wisconsin","Douglas County","Town or Township Highway Agency","Highway",1914,"LRD LAWLER BRIDGE","0.1M N JCT CTH G","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Wisconsin","Douglas County","Town or Township Highway Agency","Highway",1945,"LRD FINSTAD DRIVE","0.3M N JCT CTH Y","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Wisconsin","Wood County","Town or Township Highway Agency","Highway",1906,"LRD LYNN LINE RD","1.9M W JCT CTH V","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Puerto Rico","Salinas Municipio","State Highway Agency","Highway-pedestrian",1939,"PR 1","1 KM WEST OF SALINAS","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Puerto Rico","Adjuntas Municipio","State Highway Agency","Highway",1937,"PR 524","4.8 KM NORTH OF ADJUNTAS","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","FAILED CONDITION - out of service"
"Puerto Rico","Vega Baja Municipio","State Highway Agency","Highway",1968,"PR 646","4 MILES SOUTH VEGA BAJA","SATISFACTORY CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Puerto Rico","San Sebastian Municipio","City or Municipal Highway Agency","Highway",1996,"OFF PR 111","4.5KM SW OF SAN SEBASTIAN","SATISFACTORY CONDITION","VERY GOOD CONDITION","IMMINENT FAILURE CONDITION"
"Puerto Rico","Cayey Municipio","State Highway Agency","Highway",2003,"PR-7736","5.5 KM NORTHEAST OF CAYEY","IMMINENT FAILURE CONDITION","POOR CONDITION","POOR CONDITION"
